-0.236,0.148,0.867
-0.225,0.181,0.802
-0.056,0.188,0.864
0.013,0.211,0.944
0.080,0.244,0.912
0.069,0.233,0.807
0.005,0.263,0.714
-0.064,0.271,0.630
-0.095,0.312,0.687
-0.145,0.310,0.737
-0.131,0.324,0.781
-0.063,0.319,0.854
-0.008,0.327,0.945
0.060,0.315,0.982
0.067,0.305,1.027
0.050,0.311,1.003
0.046,0.338,0.958
0.005,0.361,0.945
0.044,0.374,0.939
0.091,0.361,0.986
0.054,0.368,1.098
0.027,0.357,1.091
0.046,0.354,1.082
0.019,0.314,1.123
0.010,0.276,1.068
-0.038,0.299,0.977
-0.043,0.299,0.970
0.004,0.349,0.938
0.024,0.306,0.976
0.010,0.330,1.041
-0.018,0.301,1.042
-0.009,0.286,0.935
0.023,0.296,0.922
0.058,0.292,1.023
0.020,0.309,1.072
0.028,0.311,1.100
0.023,0.315,1.059
0.014,0.262,0.965
-0.033,0.290,0.949
-0.042,0.295,0.990
-0.076,0.267,1.003
-0.066,0.251,0.942
-0.084,0.258,0.974
-0.054,0.279,0.961
-0.039,0.265,0.945
-0.042,0.275,0.973
-0.010,0.286,1.067
0.027,0.284,1.074
0.066,0.280,1.117
0.095,0.283,1.113
0.110,0.315,1.172
0.074,0.246,1.254
0.045,0.278,1.211
0.068,0.312,1.156
0.075,0.275,1.132
-0.042,0.313,1.109
-0.063,0.320,1.128
-0.059,0.313,1.155
-0.021,0.371,1.140
0.061,0.332,1.081
0.067,0.386,1.056
0.040,0.364,1.084
0.032,0.415,1.088
-0.007,0.440,1.046
0.000,0.429,1.037
0.027,0.449,1.037
0.038,0.452,1.017
0.089,0.448,0.967
0.076,0.457,0.937
0.042,0.422,0.999
0.048,0.456,0.989
0.109,0.435,0.944
0.094,0.442,0.860
0.082,0.459,0.842
0.104,0.440,0.853
0.162,0.465,0.812
0.191,0.492,0.820
0.195,0.501,0.839
0.185,0.508,0.996
0.186,0.515,1.000
0.251,0.509,0.894
0.232,0.509,0.877
0.181,0.513,0.936
0.162,0.544,0.790
0.225,0.429,1.022
0.141,0.459,1.045
0.110,0.445,0.944
0.215,0.384,1.002
0.190,0.432,0.915
0.154,0.479,0.802
0.128,0.439,0.872
0.113,0.507,0.916
0.120,0.463,0.868
0.160,0.454,0.840
0.215,0.485,0.858
0.265,0.447,0.799
0.285,0.512,0.706
0.271,0.486,0.678
0.195,0.499,0.673
0.138,0.500,0.724
0.157,0.546,0.733
0.195,0.557,0.723
0.195,0.539,0.739
0.188,0.527,0.813
0.265,0.509,0.831
0.285,0.492,0.878
0.241,0.478,0.932
0.213,0.491,1.006
0.188,0.502,1.052
0.277,0.505,1.033
0.250,0.525,1.025
0.258,0.524,0.981
0.279,0.558,0.888
0.209,0.577,0.812
0.217,0.587,0.847
0.206,0.561,0.841
0.259,0.558,0.757
0.339,0.562,0.762
0.253,0.559,0.769
0.093,0.569,0.885
0.129,0.591,0.944
0.250,0.566,0.956
0.263,0.596,0.983
0.319,0.554,0.956
0.348,0.569,0.861
0.295,0.565,0.817
0.249,0.625,0.826
0.261,0.522,0.882
0.293,0.591,0.957
0.285,0.519,0.896
0.217,0.649,0.772
0.150,0.454,0.758
0.346,0.486,0.743
0.542,0.419,0.831
0.564,0.477,0.888
0.501,0.509,0.952
0.415,0.561,0.848
0.412,0.507,0.864
0.305,0.480,0.821
0.144,0.492,0.756
0.243,0.471,0.737
0.299,0.445,0.870
0.370,0.439,1.022
0.380,0.423,1.059
0.363,0.443,1.030
0.344,0.482,0.956
0.244,0.510,0.881
0.204,0.573,0.793
0.250,0.615,0.763
0.218,0.635,0.821
0.224,0.637,0.933
0.276,0.668,0.916
0.262,0.651,0.861
0.201,0.645,0.832
0.233,0.655,0.798
0.265,0.633,0.729
0.207,0.625,0.709
0.128,0.615,0.833
0.203,0.528,0.811
0.324,0.506,0.573
0.263,0.490,0.475
0.203,0.445,0.435
0.176,0.412,0.379
0.157,0.353,0.309
0.090,0.328,0.200
0.040,0.333,0.145
-0.046,0.302,0.169
-0.105,0.228,0.067
-0.161,0.198,-0.006
-0.226,0.099,-0.062
-0.176,-0.065,-0.126
0.076,-0.211,-0.092
0.146,-0.302,0.740
0.058,-0.482,1.903
-0.015,-0.294,2.000
0.237,-0.251,2.000
0.332,-0.276,2.000
0.183,-0.181,2.000
-0.103,-0.124,2.000
-0.071,-0.113,2.000
0.013,-0.172,2.000
0.019,-0.150,2.000
0.155,-0.180,2.000
0.228,-0.202,2.000
0.280,-0.167,1.997
0.369,-0.180,1.779
0.312,-0.168,1.510
0.095,-0.131,1.261
0.011,-0.116,1.134
0.092,-0.090,0.982
0.118,-0.067,0.920
0.083,-0.034,0.885
0.090,-0.014,0.901
0.109,0.021,0.975
0.150,0.022,0.966
0.261,0.047,0.880
0.270,0.092,0.904
0.305,0.080,0.878
0.324,0.123,0.836
0.355,0.149,0.925
0.365,0.164,0.987
0.426,0.148,0.913
0.503,0.130,0.809
